"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"2018"	"2018"	"Feb., 2018"	"2018/02"					108	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			27	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			37	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Mar., 2018"	"2018/03"					64	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			39	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			50	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Apr., 2018"	"2018/04"					89	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"May, 2018"	"2018/05"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			40	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"May, 2018"	"2018/05"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			40	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"May, 2018"	"2018/05"					80	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			21	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			33	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jun., 2018"	"2018/06"					54	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			18	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			22	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jul., 2018"	"2018/07"					40	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			14	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			16	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Aug., 2018"	"2018/08"					30	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			18	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			29	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Sep., 2018"	"2018/09"					47	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			15	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			33	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Oct., 2018"	"2018/10"					48	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			15	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			43	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Nov., 2018"	"2018/11"					58	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			27	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	17	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			56	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Dec., 2018"	"2018/12"					83	Not Applicable	Not Applicable
"Total"	"2018"	"2018"							867	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			30	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	16	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	21	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			70	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jan., 2019"	"2019/01"					100	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			32	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			45	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Feb., 2019"	"2019/02"					77	Not Applicable	Not Applicable
	"2019"	"2019"	"Mar., 2019"	"2019/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			36	Not Applicable	Not Applicable
	"2019"	"2019"	"Mar., 2019"	"2019/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			45	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Mar., 2019"	"2019/03"					81	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			23	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			33	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Apr., 2019"	"2019/04"					56	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"May, 2019"	"2019/05"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			20	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"May, 2019"	"2019/05"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			41	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"May, 2019"	"2019/05"					61	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			21	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			27	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jun., 2019"	"2019/06"					48	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			26	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			33	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Jul., 2019"	"2019/07"					59	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			21	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			26	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Aug., 2019"	"2019/08"					47	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			18	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			26	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Sep., 2019"	"2019/09"					44	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			21	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			36	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Oct., 2019"	"2019/10"					57	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			26	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			30	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Nov., 2019"	"2019/11"					56	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			36	Not Applicable	Not Applicable
	"2019"	"2019"	"Dec., 2019"	"2019/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	13	Not Applicable	Not Applicable
	"2019"	"2019"	"Dec., 2019"	"2019/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"2019"	"2019"	"Dec., 2019"	"2019/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			50	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Dec., 2019"	"2019/12"					86	Not Applicable	Not Applicable
"Total"	"2019"	"2019"							772	Not Applicable	Not Applicable
	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			42	Not Applicable	Not Applicable
	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	18	Not Applicable	Not Applicable
	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	27	Not Applicable	Not Applicable
	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			87	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jan., 2020"	"2020/01"					129	Not Applicable	Not Applicable
	"2020"	"2020"	"Feb., 2020"	"2020/02"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
	"2020"	"2020"	"Feb., 2020"	"2020/02"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			39	Not Applicable	Not Applicable
	"2020"	"2020"	"Feb., 2020"	"2020/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	13	Not Applicable	Not Applicable
	"2020"	"2020"	"Feb., 2020"	"2020/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			54	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Feb., 2020"	"2020/02"					93	Not Applicable	Not Applicable
	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			47	Not Applicable	Not Applicable
	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	20	Not Applicable	Not Applicable
	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			72	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Mar., 2020"	"2020/03"					119	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			30	Not Applicable	Not Applicable
	"2020"	"2020"	"Apr., 2020"	"2020/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"2020"	"2020"	"Apr., 2020"	"2020/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			53	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Apr., 2020"	"2020/04"					83	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"May, 2020"	"2020/05"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			30	Not Applicable	Not Applicable
	"2020"	"2020"	"May, 2020"	"2020/05"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	14	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"May, 2020"	"2020/05"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			37	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"May, 2020"	"2020/05"					67	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			18	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			29	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jun., 2020"	"2020/06"					47	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			20	Not Applicable	Not Applicable
	"2020"	"2020"	"Jul., 2020"	"2020/07"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	14	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			29	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Jul., 2020"	"2020/07"					49	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			16	Not Applicable	Not Applicable
	"2020"	"2020"	"Aug., 2020"	"2020/08"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			31	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Aug., 2020"	"2020/08"					47	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			15	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			20	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Sep., 2020"	"2020/09"					35	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			24	Not Applicable	Not Applicable
	"2020"	"2020"	"Oct., 2020"	"2020/10"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			38	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Oct., 2020"	"2020/10"					62	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			24	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			36	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Nov., 2020"	"2020/11"					60	Not Applicable	Not Applicable
	"2020"	"2020"	"Dec., 2020"	"2020/12"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			29	Not Applicable	Not Applicable
	"2020"	"2020"	"Dec., 2020"	"2020/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	19	Not Applicable	Not Applicable
	"2020"	"2020"	"Dec., 2020"	"2020/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"2020"	"2020"	"Dec., 2020"	"2020/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	21	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			69	Not Applicable	Not Applicable
"Total"	"2020"	"2020"	"Dec., 2020"	"2020/12"					98	Not Applicable	Not Applicable
"Total"	"2020"	"2020"							889	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			29	Not Applicable	Not Applicable
	"2021"	"2021"	"Jan., 2021"	"2021/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	19	Not Applicable	Not Applicable
	"2021"	"2021"	"Jan., 2021"	"2021/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	18	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			61	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Jan., 2021"	"2021/01"					90	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			26	Not Applicable	Not Applicable
	"2021"	"2021"	"Feb., 2021"	"2021/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	13	Not Applicable	Not Applicable
	"2021"	"2021"	"Feb., 2021"	"2021/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			40	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Feb., 2021"	"2021/02"					66	Not Applicable	Not Applicable
	"2021"	"2021"	"Mar., 2021"	"2021/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			27	Not Applicable	Not Applicable
	"2021"	"2021"	"Mar., 2021"	"2021/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			27	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Mar., 2021"	"2021/03"					54	Not Applicable	Not Applicable
"Total"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			18	Not Applicable	Not Applicable
	"2021"	"2021"	"Apr., 2021"	"2021/04"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
